day,hospital_id,cohort,min_elective,max_elective
1,H1,c3,2,8
2,H1,c3,2,8
3,H1,c3,2,8
4,H1,c3,2,8
5,H1,c3,2,8
6,H1,c3,2,8
7,H1,c3,2,8
1,H2,c3,1,5
2,H2,c3,1,5
3,H2,c3,1,5
4,H2,c3,1,5
5,H2,c3,1,5
6,H2,c3,1,5
7,H2,c3,1,5
1,H3,c3,1,5
2,H3,c3,1,5
3,H3,c3,1,5
4,H3,c3,1,5
5,H3,c3,1,5
6,H3,c3,1,5
7,H3,c3,1,5
1,H4,c3,0,3
2,H4,c3,0,3
3,H4,c3,0,3
4,H4,c3,0,3
5,H4,c3,0,3
6,H4,c3,0,3
7,H4,c3,0,3
1,H5,c3,0,3
2,H5,c3,0,3
3,H5,c3,0,3
4,H5,c3,0,3
5,H5,c3,0,3
6,H5,c3,0,3
7,H5,c3,0,3
1,H6,c3,0,3
2,H6,c3,0,3
3,H6,c3,0,3
4,H6,c3,0,3
5,H6,c3,0,3
6,H6,c3,0,3
7,H6,c3,0,3
1,H7,c3,0,3
2,H7,c3,0,3
3,H7,c3,0,3
4,H7,c3,0,3
5,H7,c3,0,3
6,H7,c3,0,3
7,H7,c3,0,3
1,H8,c3,2,8
2,H8,c3,2,8
3,H8,c3,2,8
4,H8,c3,2,8
5,H8,c3,2,8
6,H8,c3,2,8
7,H8,c3,2,8
1,H9,c3,1,5
2,H9,c3,1,5
3,H9,c3,1,5
4,H9,c3,1,5
5,H9,c3,1,5
6,H9,c3,1,5
7,H9,c3,1,5
1,H10,c3,1,5
2,H10,c3,1,5
3,H10,c3,1,5
4,H10,c3,1,5
5,H10,c3,1,5
6,H10,c3,1,5
7,H10,c3,1,5
