hospital_id,resource,safe_utilization
H1,ICU,0.85
H1,Ward,0.9
H2,ICU,0.85
H2,Ward,0.9
H3,ICU,0.85
H3,Ward,0.9
H4,ICU,0.85
H4,Ward,0.9
H5,ICU,0.85
H5,Ward,0.9
H6,ICU,0.85
H6,Ward,0.9
H7,ICU,0.85
H7,Ward,0.9
H8,ICU,0.85
H8,Ward,0.9
H9,ICU,0.85
H9,Ward,0.9
H10,ICU,0.85
H10,Ward,0.9
H11,ICU,0.85
H11,Ward,0.9
H12,ICU,0.85
H12,Ward,0.9
H13,ICU,0.85
H13,Ward,0.9
H14,ICU,0.85
H14,Ward,0.9
H15,ICU,0.85
H15,Ward,0.9
H16,ICU,0.85
H16,Ward,0.9
H17,ICU,0.85
H17,Ward,0.9
H18,ICU,0.85
H18,Ward,0.9
H19,ICU,0.85
H19,Ward,0.9
H20,ICU,0.85
H20,Ward,0.9
H21,ICU,0.85
H21,Ward,0.9
H22,ICU,0.85
H22,Ward,0.9
H23,ICU,0.85
H23,Ward,0.9
H24,ICU,0.85
H24,Ward,0.9
H25,ICU,0.85
H25,Ward,0.9
H26,ICU,0.85
H26,Ward,0.9
H27,ICU,0.85
H27,Ward,0.9
H28,ICU,0.85
H28,Ward,0.9
H29,ICU,0.85
H29,Ward,0.9
H30,ICU,0.85
H30,Ward,0.9
H31,ICU,0.85
H31,Ward,0.9
H32,ICU,0.85
H32,Ward,0.9
H33,ICU,0.85
H33,Ward,0.9
H34,ICU,0.85
H34,Ward,0.9
H35,ICU,0.85
H35,Ward,0.9
H36,ICU,0.85
H36,Ward,0.9
H37,ICU,0.85
H37,Ward,0.9
H38,ICU,0.85
H38,Ward,0.9
H39,ICU,0.85
H39,Ward,0.9
H40,ICU,0.85
H40,Ward,0.9
H41,ICU,0.85
H41,Ward,0.9
H42,ICU,0.85
H42,Ward,0.9
H43,ICU,0.85
H43,Ward,0.9
H44,ICU,0.85
H44,Ward,0.9
H45,ICU,0.85
H45,Ward,0.9
H46,ICU,0.85
H46,Ward,0.9
H47,ICU,0.85
H47,Ward,0.9
H48,ICU,0.85
H48,Ward,0.9
H49,ICU,0.85
H49,Ward,0.9
H50,ICU,0.85
H50,Ward,0.9
H51,ICU,0.85
H51,Ward,0.9
H52,ICU,0.85
H52,Ward,0.9
H53,ICU,0.85
H53,Ward,0.9
H54,ICU,0.85
H54,Ward,0.9
H55,ICU,0.85
H55,Ward,0.9
H56,ICU,0.85
H56,Ward,0.9
H57,ICU,0.85
H57,Ward,0.9
H58,ICU,0.85
H58,Ward,0.9
H59,ICU,0.85
H59,Ward,0.9
H60,ICU,0.85
H60,Ward,0.9
H61,ICU,0.85
H61,Ward,0.9
H62,ICU,0.85
H62,Ward,0.9
H63,ICU,0.85
H63,Ward,0.9
H64,ICU,0.85
H64,Ward,0.9
H65,ICU,0.85
H65,Ward,0.9
H66,ICU,0.85
H66,Ward,0.9
H67,ICU,0.85
H67,Ward,0.9
H68,ICU,0.85
H68,Ward,0.9
H69,ICU,0.85
H69,Ward,0.9
H70,ICU,0.85
H70,Ward,0.9
H71,ICU,0.85
H71,Ward,0.9
H72,ICU,0.85
H72,Ward,0.9
H73,ICU,0.85
H73,Ward,0.9
H74,ICU,0.85
H74,Ward,0.9
H75,ICU,0.85
H75,Ward,0.9
H76,ICU,0.85
H76,Ward,0.9
H77,ICU,0.85
H77,Ward,0.9
H78,ICU,0.85
H78,Ward,0.9
H79,ICU,0.85
H79,Ward,0.9
H80,ICU,0.85
H80,Ward,0.9
H81,ICU,0.85
H81,Ward,0.9
H82,ICU,0.85
H82,Ward,0.9
H83,ICU,0.85
H83,Ward,0.9
H84,ICU,0.85
H84,Ward,0.9
H85,ICU,0.85
H85,Ward,0.9
H86,ICU,0.85
H86,Ward,0.9
H87,ICU,0.85
H87,Ward,0.9
H88,ICU,0.85
H88,Ward,0.9
H89,ICU,0.85
H89,Ward,0.9
H90,ICU,0.85
H90,Ward,0.9
H91,ICU,0.85
H91,Ward,0.9
H92,ICU,0.85
H92,Ward,0.9
H93,ICU,0.85
H93,Ward,0.9
H94,ICU,0.85
H94,Ward,0.9
H95,ICU,0.85
H95,Ward,0.9
H96,ICU,0.85
H96,Ward,0.9
H97,ICU,0.85
H97,Ward,0.9
H98,ICU,0.85
H98,Ward,0.9
H99,ICU,0.85
H99,Ward,0.9
H100,ICU,0.85
H100,Ward,0.9
