from_hospital,to_hospital,allowed,transfer_capacity,transfer_cost,transfer_time
H2,H1,1,4.0,15.0,1
H1,H2,1,8.0,12.0,1
H3,H1,1,4.0,15.0,1
H1,H3,1,8.0,12.0,1
H4,H1,1,2.0,15.0,1
H1,H4,1,8.0,12.0,1
H5,H1,1,2.0,15.0,1
H1,H5,1,8.0,12.0,1
H6,H1,1,2.0,15.0,1
H1,H6,1,8.0,12.0,1
H7,H1,1,2.0,15.0,1
H1,H7,1,8.0,12.0,1
H9,H8,1,4.0,15.0,1
H8,H9,1,8.0,12.0,1
H10,H8,1,4.0,15.0,1
H8,H10,1,8.0,12.0,1
H11,H8,1,2.0,15.0,1
H8,H11,1,8.0,12.0,1
H12,H8,1,2.0,15.0,1
H8,H12,1,8.0,12.0,1
H13,H8,1,2.0,15.0,1
H8,H13,1,8.0,12.0,1
H14,H8,1,2.0,15.0,1
H8,H14,1,8.0,12.0,1
H16,H15,1,4.0,15.0,1
H15,H16,1,8.0,12.0,1
H17,H15,1,4.0,15.0,1
H15,H17,1,8.0,12.0,1
H18,H15,1,2.0,15.0,1
H15,H18,1,8.0,12.0,1
H19,H15,1,2.0,15.0,1
H15,H19,1,8.0,12.0,1
H20,H15,1,2.0,15.0,1
H15,H20,1,8.0,12.0,1
H21,H15,1,2.0,15.0,1
H15,H21,1,8.0,12.0,1
H23,H22,1,4.0,15.0,1
H22,H23,1,8.0,12.0,1
H24,H22,1,4.0,15.0,1
H22,H24,1,8.0,12.0,1
H25,H22,1,2.0,15.0,1
H22,H25,1,8.0,12.0,1
H26,H22,1,2.0,15.0,1
H22,H26,1,8.0,12.0,1
H27,H22,1,2.0,15.0,1
H22,H27,1,8.0,12.0,1
H28,H22,1,2.0,15.0,1
H22,H28,1,8.0,12.0,1
H30,H29,1,4.0,15.0,1
H29,H30,1,8.0,12.0,1
H31,H29,1,4.0,15.0,1
H29,H31,1,8.0,12.0,1
H32,H29,1,2.0,15.0,1
H29,H32,1,8.0,12.0,1
H33,H29,1,2.0,15.0,1
H29,H33,1,8.0,12.0,1
H34,H29,1,2.0,15.0,1
H29,H34,1,8.0,12.0,1
H35,H29,1,2.0,15.0,1
H29,H35,1,8.0,12.0,1
H37,H36,1,4.0,15.0,1
H36,H37,1,8.0,12.0,1
H38,H36,1,4.0,15.0,1
H36,H38,1,8.0,12.0,1
H39,H36,1,2.0,15.0,1
H36,H39,1,8.0,12.0,1
H40,H36,1,2.0,15.0,1
H36,H40,1,8.0,12.0,1
H41,H36,1,2.0,15.0,1
H36,H41,1,8.0,12.0,1
H42,H36,1,2.0,15.0,1
H36,H42,1,8.0,12.0,1
H44,H43,1,4.0,15.0,1
H43,H44,1,8.0,12.0,1
H45,H43,1,4.0,15.0,1
H43,H45,1,8.0,12.0,1
H46,H43,1,2.0,15.0,1
H43,H46,1,8.0,12.0,1
H47,H43,1,2.0,15.0,1
H43,H47,1,8.0,12.0,1
H48,H43,1,2.0,15.0,1
H43,H48,1,8.0,12.0,1
H49,H43,1,2.0,15.0,1
H43,H49,1,8.0,12.0,1
H1,H8,1,8.0,22.0,2
H8,H1,1,8.0,22.0,2
H8,H15,1,8.0,22.0,2
H15,H8,1,8.0,22.0,2
H15,H22,1,8.0,22.0,2
H22,H15,1,8.0,22.0,2
H22,H29,1,8.0,22.0,2
H29,H22,1,8.0,22.0,2
H29,H36,1,8.0,22.0,2
H36,H29,1,8.0,22.0,2
H36,H43,1,8.0,22.0,2
H43,H36,1,8.0,22.0,2
H43,H50,1,8.0,22.0,2
H50,H43,1,8.0,22.0,2
H50,H1,1,8.0,22.0,2
H1,H50,1,8.0,22.0,2
