hospital_id,resource,safe_utilization
H1,ICU,0.85
H1,Ward,0.9
H2,ICU,0.85
H2,Ward,0.9
H3,ICU,0.85
H3,Ward,0.9
H4,ICU,0.85
H4,Ward,0.9
H5,ICU,0.85
H5,Ward,0.9
H6,ICU,0.85
H6,Ward,0.9
H7,ICU,0.85
H7,Ward,0.9
H8,ICU,0.85
H8,Ward,0.9
H9,ICU,0.85
H9,Ward,0.9
H10,ICU,0.85
H10,Ward,0.9
H11,ICU,0.85
H11,Ward,0.9
H12,ICU,0.85
H12,Ward,0.9
H13,ICU,0.85
H13,Ward,0.9
H14,ICU,0.85
H14,Ward,0.9
H15,ICU,0.85
H15,Ward,0.9
H16,ICU,0.85
H16,Ward,0.9
H17,ICU,0.85
H17,Ward,0.9
H18,ICU,0.85
H18,Ward,0.9
H19,ICU,0.85
H19,Ward,0.9
H20,ICU,0.85
H20,Ward,0.9
H21,ICU,0.85
H21,Ward,0.9
H22,ICU,0.85
H22,Ward,0.9
H23,ICU,0.85
H23,Ward,0.9
H24,ICU,0.85
H24,Ward,0.9
H25,ICU,0.85
H25,Ward,0.9
H26,ICU,0.85
H26,Ward,0.9
H27,ICU,0.85
H27,Ward,0.9
H28,ICU,0.85
H28,Ward,0.9
H29,ICU,0.85
H29,Ward,0.9
H30,ICU,0.85
H30,Ward,0.9
H31,ICU,0.85
H31,Ward,0.9
H32,ICU,0.85
H32,Ward,0.9
H33,ICU,0.85
H33,Ward,0.9
H34,ICU,0.85
H34,Ward,0.9
H35,ICU,0.85
H35,Ward,0.9
H36,ICU,0.85
H36,Ward,0.9
H37,ICU,0.85
H37,Ward,0.9
H38,ICU,0.85
H38,Ward,0.9
H39,ICU,0.85
H39,Ward,0.9
H40,ICU,0.85
H40,Ward,0.9
H41,ICU,0.85
H41,Ward,0.9
H42,ICU,0.85
H42,Ward,0.9
H43,ICU,0.85
H43,Ward,0.9
H44,ICU,0.85
H44,Ward,0.9
H45,ICU,0.85
H45,Ward,0.9
H46,ICU,0.85
H46,Ward,0.9
H47,ICU,0.85
H47,Ward,0.9
H48,ICU,0.85
H48,Ward,0.9
H49,ICU,0.85
H49,Ward,0.9
H50,ICU,0.85
H50,Ward,0.9
H51,ICU,0.85
H51,Ward,0.9
H52,ICU,0.85
H52,Ward,0.9
H53,ICU,0.85
H53,Ward,0.9
H54,ICU,0.85
H54,Ward,0.9
H55,ICU,0.85
H55,Ward,0.9
H56,ICU,0.85
H56,Ward,0.9
H57,ICU,0.85
H57,Ward,0.9
H58,ICU,0.85
H58,Ward,0.9
H59,ICU,0.85
H59,Ward,0.9
H60,ICU,0.85
H60,Ward,0.9
H61,ICU,0.85
H61,Ward,0.9
H62,ICU,0.85
H62,Ward,0.9
H63,ICU,0.85
H63,Ward,0.9
H64,ICU,0.85
H64,Ward,0.9
H65,ICU,0.85
H65,Ward,0.9
H66,ICU,0.85
H66,Ward,0.9
H67,ICU,0.85
H67,Ward,0.9
H68,ICU,0.85
H68,Ward,0.9
H69,ICU,0.85
H69,Ward,0.9
H70,ICU,0.85
H70,Ward,0.9
H71,ICU,0.85
H71,Ward,0.9
H72,ICU,0.85
H72,Ward,0.9
H73,ICU,0.85
H73,Ward,0.9
H74,ICU,0.85
H74,Ward,0.9
H75,ICU,0.85
H75,Ward,0.9
H76,ICU,0.85
H76,Ward,0.9
H77,ICU,0.85
H77,Ward,0.9
H78,ICU,0.85
H78,Ward,0.9
H79,ICU,0.85
H79,Ward,0.9
H80,ICU,0.85
H80,Ward,0.9
H81,ICU,0.85
H81,Ward,0.9
H82,ICU,0.85
H82,Ward,0.9
H83,ICU,0.85
H83,Ward,0.9
H84,ICU,0.85
H84,Ward,0.9
H85,ICU,0.85
H85,Ward,0.9
H86,ICU,0.85
H86,Ward,0.9
H87,ICU,0.85
H87,Ward,0.9
H88,ICU,0.85
H88,Ward,0.9
H89,ICU,0.85
H89,Ward,0.9
H90,ICU,0.85
H90,Ward,0.9
H91,ICU,0.85
H91,Ward,0.9
H92,ICU,0.85
H92,Ward,0.9
H93,ICU,0.85
H93,Ward,0.9
H94,ICU,0.85
H94,Ward,0.9
H95,ICU,0.85
H95,Ward,0.9
H96,ICU,0.85
H96,Ward,0.9
H97,ICU,0.85
H97,Ward,0.9
H98,ICU,0.85
H98,Ward,0.9
H99,ICU,0.85
H99,Ward,0.9
H100,ICU,0.85
H100,Ward,0.9
H101,ICU,0.85
H101,Ward,0.9
H102,ICU,0.85
H102,Ward,0.9
H103,ICU,0.85
H103,Ward,0.9
H104,ICU,0.85
H104,Ward,0.9
H105,ICU,0.85
H105,Ward,0.9
H106,ICU,0.85
H106,Ward,0.9
H107,ICU,0.85
H107,Ward,0.9
H108,ICU,0.85
H108,Ward,0.9
H109,ICU,0.85
H109,Ward,0.9
H110,ICU,0.85
H110,Ward,0.9
H111,ICU,0.85
H111,Ward,0.9
H112,ICU,0.85
H112,Ward,0.9
H113,ICU,0.85
H113,Ward,0.9
H114,ICU,0.85
H114,Ward,0.9
H115,ICU,0.85
H115,Ward,0.9
H116,ICU,0.85
H116,Ward,0.9
H117,ICU,0.85
H117,Ward,0.9
H118,ICU,0.85
H118,Ward,0.9
H119,ICU,0.85
H119,Ward,0.9
H120,ICU,0.85
H120,Ward,0.9
H121,ICU,0.85
H121,Ward,0.9
H122,ICU,0.85
H122,Ward,0.9
H123,ICU,0.85
H123,Ward,0.9
H124,ICU,0.85
H124,Ward,0.9
H125,ICU,0.85
H125,Ward,0.9
H126,ICU,0.85
H126,Ward,0.9
H127,ICU,0.85
H127,Ward,0.9
H128,ICU,0.85
H128,Ward,0.9
H129,ICU,0.85
H129,Ward,0.9
H130,ICU,0.85
H130,Ward,0.9
H131,ICU,0.85
H131,Ward,0.9
H132,ICU,0.85
H132,Ward,0.9
H133,ICU,0.85
H133,Ward,0.9
H134,ICU,0.85
H134,Ward,0.9
H135,ICU,0.85
H135,Ward,0.9
H136,ICU,0.85
H136,Ward,0.9
H137,ICU,0.85
H137,Ward,0.9
H138,ICU,0.85
H138,Ward,0.9
H139,ICU,0.85
H139,Ward,0.9
H140,ICU,0.85
H140,Ward,0.9
H141,ICU,0.85
H141,Ward,0.9
H142,ICU,0.85
H142,Ward,0.9
H143,ICU,0.85
H143,Ward,0.9
H144,ICU,0.85
H144,Ward,0.9
H145,ICU,0.85
H145,Ward,0.9
H146,ICU,0.85
H146,Ward,0.9
H147,ICU,0.85
H147,Ward,0.9
H148,ICU,0.85
H148,Ward,0.9
H149,ICU,0.85
H149,Ward,0.9
H150,ICU,0.85
H150,Ward,0.9
H151,ICU,0.85
H151,Ward,0.9
H152,ICU,0.85
H152,Ward,0.9
H153,ICU,0.85
H153,Ward,0.9
H154,ICU,0.85
H154,Ward,0.9
H155,ICU,0.85
H155,Ward,0.9
H156,ICU,0.85
H156,Ward,0.9
H157,ICU,0.85
H157,Ward,0.9
H158,ICU,0.85
H158,Ward,0.9
H159,ICU,0.85
H159,Ward,0.9
H160,ICU,0.85
H160,Ward,0.9
H161,ICU,0.85
H161,Ward,0.9
H162,ICU,0.85
H162,Ward,0.9
H163,ICU,0.85
H163,Ward,0.9
H164,ICU,0.85
H164,Ward,0.9
H165,ICU,0.85
H165,Ward,0.9
H166,ICU,0.85
H166,Ward,0.9
H167,ICU,0.85
H167,Ward,0.9
H168,ICU,0.85
H168,Ward,0.9
H169,ICU,0.85
H169,Ward,0.9
H170,ICU,0.85
H170,Ward,0.9
H171,ICU,0.85
H171,Ward,0.9
H172,ICU,0.85
H172,Ward,0.9
H173,ICU,0.85
H173,Ward,0.9
H174,ICU,0.85
H174,Ward,0.9
H175,ICU,0.85
H175,Ward,0.9
H176,ICU,0.85
H176,Ward,0.9
H177,ICU,0.85
H177,Ward,0.9
H178,ICU,0.85
H178,Ward,0.9
H179,ICU,0.85
H179,Ward,0.9
H180,ICU,0.85
H180,Ward,0.9
H181,ICU,0.85
H181,Ward,0.9
H182,ICU,0.85
H182,Ward,0.9
H183,ICU,0.85
H183,Ward,0.9
H184,ICU,0.85
H184,Ward,0.9
H185,ICU,0.85
H185,Ward,0.9
H186,ICU,0.85
H186,Ward,0.9
H187,ICU,0.85
H187,Ward,0.9
H188,ICU,0.85
H188,Ward,0.9
H189,ICU,0.85
H189,Ward,0.9
H190,ICU,0.85
H190,Ward,0.9
H191,ICU,0.85
H191,Ward,0.9
H192,ICU,0.85
H192,Ward,0.9
H193,ICU,0.85
H193,Ward,0.9
H194,ICU,0.85
H194,Ward,0.9
H195,ICU,0.85
H195,Ward,0.9
H196,ICU,0.85
H196,Ward,0.9
H197,ICU,0.85
H197,Ward,0.9
H198,ICU,0.85
H198,Ward,0.9
H199,ICU,0.85
H199,Ward,0.9
H200,ICU,0.85
H200,Ward,0.9
