day,hospital_id,cohort,min_elective,max_elective
1,H1,c3,2,8
2,H1,c3,2,8
3,H1,c3,2,8
4,H1,c3,2,8
5,H1,c3,2,8
6,H1,c3,2,8
7,H1,c3,2,8
1,H2,c3,1,5
2,H2,c3,1,5
3,H2,c3,1,5
4,H2,c3,1,5
5,H2,c3,1,5
6,H2,c3,1,5
7,H2,c3,1,5
1,H3,c3,1,5
2,H3,c3,1,5
3,H3,c3,1,5
4,H3,c3,1,5
5,H3,c3,1,5
6,H3,c3,1,5
7,H3,c3,1,5
1,H4,c3,0,3
2,H4,c3,0,3
3,H4,c3,0,3
4,H4,c3,0,3
5,H4,c3,0,3
6,H4,c3,0,3
7,H4,c3,0,3
1,H5,c3,0,3
2,H5,c3,0,3
3,H5,c3,0,3
4,H5,c3,0,3
5,H5,c3,0,3
6,H5,c3,0,3
7,H5,c3,0,3
1,H6,c3,0,3
2,H6,c3,0,3
3,H6,c3,0,3
4,H6,c3,0,3
5,H6,c3,0,3
6,H6,c3,0,3
7,H6,c3,0,3
1,H7,c3,0,3
2,H7,c3,0,3
3,H7,c3,0,3
4,H7,c3,0,3
5,H7,c3,0,3
6,H7,c3,0,3
7,H7,c3,0,3
1,H8,c3,2,8
2,H8,c3,2,8
3,H8,c3,2,8
4,H8,c3,2,8
5,H8,c3,2,8
6,H8,c3,2,8
7,H8,c3,2,8
1,H9,c3,1,5
2,H9,c3,1,5
3,H9,c3,1,5
4,H9,c3,1,5
5,H9,c3,1,5
6,H9,c3,1,5
7,H9,c3,1,5
1,H10,c3,1,5
2,H10,c3,1,5
3,H10,c3,1,5
4,H10,c3,1,5
5,H10,c3,1,5
6,H10,c3,1,5
7,H10,c3,1,5
1,H11,c3,0,3
2,H11,c3,0,3
3,H11,c3,0,3
4,H11,c3,0,3
5,H11,c3,0,3
6,H11,c3,0,3
7,H11,c3,0,3
1,H12,c3,0,3
2,H12,c3,0,3
3,H12,c3,0,3
4,H12,c3,0,3
5,H12,c3,0,3
6,H12,c3,0,3
7,H12,c3,0,3
1,H13,c3,0,3
2,H13,c3,0,3
3,H13,c3,0,3
4,H13,c3,0,3
5,H13,c3,0,3
6,H13,c3,0,3
7,H13,c3,0,3
1,H14,c3,0,3
2,H14,c3,0,3
3,H14,c3,0,3
4,H14,c3,0,3
5,H14,c3,0,3
6,H14,c3,0,3
7,H14,c3,0,3
1,H15,c3,2,8
2,H15,c3,2,8
3,H15,c3,2,8
4,H15,c3,2,8
5,H15,c3,2,8
6,H15,c3,2,8
7,H15,c3,2,8
1,H16,c3,1,5
2,H16,c3,1,5
3,H16,c3,1,5
4,H16,c3,1,5
5,H16,c3,1,5
6,H16,c3,1,5
7,H16,c3,1,5
1,H17,c3,1,5
2,H17,c3,1,5
3,H17,c3,1,5
4,H17,c3,1,5
5,H17,c3,1,5
6,H17,c3,1,5
7,H17,c3,1,5
1,H18,c3,0,3
2,H18,c3,0,3
3,H18,c3,0,3
4,H18,c3,0,3
5,H18,c3,0,3
6,H18,c3,0,3
7,H18,c3,0,3
1,H19,c3,0,3
2,H19,c3,0,3
3,H19,c3,0,3
4,H19,c3,0,3
5,H19,c3,0,3
6,H19,c3,0,3
7,H19,c3,0,3
1,H20,c3,0,3
2,H20,c3,0,3
3,H20,c3,0,3
4,H20,c3,0,3
5,H20,c3,0,3
6,H20,c3,0,3
7,H20,c3,0,3
1,H21,c3,0,3
2,H21,c3,0,3
3,H21,c3,0,3
4,H21,c3,0,3
5,H21,c3,0,3
6,H21,c3,0,3
7,H21,c3,0,3
1,H22,c3,2,8
2,H22,c3,2,8
3,H22,c3,2,8
4,H22,c3,2,8
5,H22,c3,2,8
6,H22,c3,2,8
7,H22,c3,2,8
1,H23,c3,1,5
2,H23,c3,1,5
3,H23,c3,1,5
4,H23,c3,1,5
5,H23,c3,1,5
6,H23,c3,1,5
7,H23,c3,1,5
1,H24,c3,1,5
2,H24,c3,1,5
3,H24,c3,1,5
4,H24,c3,1,5
5,H24,c3,1,5
6,H24,c3,1,5
7,H24,c3,1,5
1,H25,c3,0,3
2,H25,c3,0,3
3,H25,c3,0,3
4,H25,c3,0,3
5,H25,c3,0,3
6,H25,c3,0,3
7,H25,c3,0,3
