hospital_id,resource,max_surge
H1,ICU,8
H1,Ward,20
H2,ICU,5
H2,Ward,12
H3,ICU,5
H3,Ward,12
H4,ICU,2
H4,Ward,8
H5,ICU,2
H5,Ward,8
H6,ICU,2
H6,Ward,8
H7,ICU,2
H7,Ward,8
H8,ICU,8
H8,Ward,20
H9,ICU,5
H9,Ward,12
H10,ICU,5
H10,Ward,12
H11,ICU,2
H11,Ward,8
H12,ICU,2
H12,Ward,8
H13,ICU,2
H13,Ward,8
H14,ICU,2
H14,Ward,8
H15,ICU,8
H15,Ward,20
H16,ICU,5
H16,Ward,12
H17,ICU,5
H17,Ward,12
H18,ICU,2
H18,Ward,8
H19,ICU,2
H19,Ward,8
H20,ICU,2
H20,Ward,8
H21,ICU,2
H21,Ward,8
H22,ICU,8
H22,Ward,20
H23,ICU,5
H23,Ward,12
H24,ICU,5
H24,Ward,12
H25,ICU,2
H25,Ward,8
