hospital_id,resource,base_capacity
H1,ICU,40
H1,Ward,140
H2,ICU,20
H2,Ward,90
H3,ICU,20
H3,Ward,90
H4,ICU,10
H4,Ward,60
H5,ICU,10
H5,Ward,60
H6,ICU,10
H6,Ward,60
H7,ICU,10
H7,Ward,60
H8,ICU,40
H8,Ward,140
H9,ICU,20
H9,Ward,90
H10,ICU,20
H10,Ward,90
H11,ICU,10
H11,Ward,60
H12,ICU,10
H12,Ward,60
H13,ICU,10
H13,Ward,60
H14,ICU,10
H14,Ward,60
H15,ICU,40
H15,Ward,140
H16,ICU,20
H16,Ward,90
H17,ICU,20
H17,Ward,90
H18,ICU,10
H18,Ward,60
H19,ICU,10
H19,Ward,60
H20,ICU,10
H20,Ward,60
H21,ICU,10
H21,Ward,60
H22,ICU,40
H22,Ward,140
H23,ICU,20
H23,Ward,90
H24,ICU,20
H24,Ward,90
H25,ICU,10
H25,Ward,60
H26,ICU,10
H26,Ward,60
H27,ICU,10
H27,Ward,60
H28,ICU,10
H28,Ward,60
H29,ICU,40
H29,Ward,140
H30,ICU,20
H30,Ward,90
H31,ICU,20
H31,Ward,90
H32,ICU,10
H32,Ward,60
H33,ICU,10
H33,Ward,60
H34,ICU,10
H34,Ward,60
H35,ICU,10
H35,Ward,60
H36,ICU,40
H36,Ward,140
H37,ICU,20
H37,Ward,90
H38,ICU,20
H38,Ward,90
H39,ICU,10
H39,Ward,60
H40,ICU,10
H40,Ward,60
H41,ICU,10
H41,Ward,60
H42,ICU,10
H42,Ward,60
H43,ICU,40
H43,Ward,140
H44,ICU,20
H44,Ward,90
H45,ICU,20
H45,Ward,90
H46,ICU,10
H46,Ward,60
H47,ICU,10
H47,Ward,60
H48,ICU,10
H48,Ward,60
H49,ICU,10
H49,Ward,60
H50,ICU,40
H50,Ward,140
