hospital_id,hospital_name,hospital_type
H1,Meridian Tertiary H1,tertiary
H2,Meridian Regional H2,regional
H3,Meridian Regional H3,regional
H4,Meridian Community H4,community
H5,Meridian Community H5,community
H6,Meridian Community H6,community
H7,Meridian Community H7,community
H8,Meridian Tertiary H8,tertiary
H9,Meridian Regional H9,regional
H10,Meridian Regional H10,regional
H11,Meridian Community H11,community
H12,Meridian Community H12,community
H13,Meridian Community H13,community
H14,Meridian Community H14,community
H15,Meridian Tertiary H15,tertiary
H16,Meridian Regional H16,regional
H17,Meridian Regional H17,regional
H18,Meridian Community H18,community
H19,Meridian Community H19,community
H20,Meridian Community H20,community
H21,Meridian Community H21,community
H22,Meridian Tertiary H22,tertiary
H23,Meridian Regional H23,regional
H24,Meridian Regional H24,regional
H25,Meridian Community H25,community
H26,Meridian Community H26,community
H27,Meridian Community H27,community
H28,Meridian Community H28,community
H29,Meridian Tertiary H29,tertiary
H30,Meridian Regional H30,regional
H31,Meridian Regional H31,regional
H32,Meridian Community H32,community
H33,Meridian Community H33,community
H34,Meridian Community H34,community
H35,Meridian Community H35,community
H36,Meridian Tertiary H36,tertiary
H37,Meridian Regional H37,regional
H38,Meridian Regional H38,regional
H39,Meridian Community H39,community
H40,Meridian Community H40,community
H41,Meridian Community H41,community
H42,Meridian Community H42,community
H43,Meridian Tertiary H43,tertiary
H44,Meridian Regional H44,regional
H45,Meridian Regional H45,regional
H46,Meridian Community H46,community
H47,Meridian Community H47,community
H48,Meridian Community H48,community
H49,Meridian Community H49,community
H50,Meridian Tertiary H50,tertiary
